Title,Price,Rating,RAM,Display,Camera,Battery,Warranty
"Samsung M06 5G (Blazing Black, 128 GB)","₹12,047",4.1,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,
"OPPO K14 5G (Icy Blue, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme P4 Lite 5G (Mosaic Blue, 64 GB)","₹15,499",4.3,4 GB RAM | 64 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Ai+ Pulse 2 (Blue, 128 GB)","₹11,499",3.8,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹15,499",4.3,4 GB RAM | 64 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme P4 Lite 5G (Mosaic Green, 128 GB)","₹17,499",4.3,4 GB RAM | 128 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Ai+ Pulse 1 (Black, 128 GB)","₹9,999",4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"Infinix SMART 20 (Sunlike Orange, 64 GB)","₹12,499",4,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,5200 mAh Battery,"1 year for Handset
6 months for Accessories"
"POCO X8 Pro (Black, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB)","₹15,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year on Handset and 6 Months on Accessories
"HMD Vibe2 5G (Cosmic Lavender, 128 GB)","₹14,999",4.6,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,
"POCO X8 Pro (Iron man edition, 256 GB)","₹39,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Black, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹18,999",4.3,6 GB RAM | 128 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Nokia 130 Music Dual Sim with Music Player, Dedicated Music Buttons","₹1,971",3.9,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,NA
itel Ace 3 Shine,₹849,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,1000 mAh Battery,Unisoc Processor,
"Samsung Galaxy M06 5G (Sage Green, 64 GB)","₹11,251",4.1,4 GB RAM | 64 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,
"POCO X8 Pro (White, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Green, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo T5x 5G (Star Silver, 128 GB)","₹22,999",4.4,6 GB RAM | 128 GB ROM,17.17 cm (6.76 inch) Display,50MP + 2MP | 32MP Front Camera,7200 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"REDMI Note 15 SE 5G Snapdragon (Crimson Reserve, 128 GB)","₹23,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP Rear Camera | 20MP Front Camera,5800 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Green, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)","₹14,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5200 mAh Battery,1 Year on Handset and 6 Months on Accessories
"Nokia 105 Classic Single Sim Keypad Phone, Without Charger","₹1,049",4,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,1 Month Company Domestic Warranty by Company Authorized Service Center.
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹25,999",4.3,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories
HOTLINE H312,₹549,3.5,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,490",4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery,12+1 month manufacturer warranty
"realme P4R 5G (Silver Glare, 256 GB)","₹22,999",4.6,6 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,8000 mAh Lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹24,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Quad HD+ Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,68W Charger
"realme P4R 5G (Titanium Glare, 128 GB)","₹18,999",4.4,4 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,8000 mAh Lithium-ion polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Ai+ Pulse 2 (Green, 64 GB)","₹10,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"Infinix SMART 20 (Sunlike Orange, 64 GB)","₹12,499",4,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,5200 mAh Battery,"1 year for Handset
6 months for Accessories"
"POCO X8 Pro (Black, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Ai+ Pulse 2 (Blue, 64 GB)","₹10,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"HMD 105 Dual Sim Keypad Phone with Built-in UPI App, Wireless FM Radio","₹1,065",3.9,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) Display,1000 mAh Battery,SC6531E Processor,
Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments,"₹1,332",3.8,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES
"REDMI A7 Pro 5G (Mist Blue, 64 GB)","₹12,640",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 64 GB,17.53 cm (6.9 inch) Full HD+ Display,32MP Rear Camera,6300 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"POCO X8 Pro (Iron man edition, 256 GB)","₹39,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Black, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 15 SE 5G (Frosted White, 256 GB)","₹25,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP Rear Camera | 20MP Front Camera,5800 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy M17 5G (Sapphire Black, 128 GB)","₹13,995",4.2,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,
"POCO X8 Pro (White, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Green, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Micromax X778,"₹1,370",3.9,32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2700 mAh Battery,
"OPPO K14 5G (Prism White, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments,"₹1,332",3.8,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES
"MOTOROLA g37 (PANTONE Nautical Blue, 64 GB)","₹14,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5200 mAh Battery,1 Year on Handset and 6 Months on Accessories
"POCO X8 Pro (Green, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Kechaoda A27,₹969,4,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery,3 Months Company Warranty
"Samsung Galaxy M07 (Black, 64 GB)","₹9,655",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"OPPO K14 5G (Prism Violet, 256 GB)","₹23,999",4.3,8 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Samsung Galaxy A17 5G (Black, 128 GB)","₹21,997",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Samsung Galaxy F70e 5G (Spotlight Blue, 128 GB)","₹12,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Kechaoda K115,"₹1,029",4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery,3 Months Company Warranty
"OPPO K14 5G (Prism Violet, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"REDMI A7 Pro 5G (Black, 128 GB)","₹13,849",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 128 GB,17.53 cm (6.9 inch) Full HD+ Display,32MP Rear Camera,6300 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"POCO C85x (Emerald Green, 64 GB)","₹12,999",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,6300 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Infinix SMART 20 (Sunlike Orange, 64 GB)","₹12,499",4,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,5200 mAh Battery,"1 year for Handset
6 months for Accessories"
"POCO X8 Pro (Black, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO M7 Plus 5G (Aqua Blue, 128 GB)","₹17,999",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Full HD+ Display,50MP AI Dual Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy F70e 5G (Limelight Green, 128 GB)","₹14,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"POCO X8 Pro (Iron man edition, 256 GB)","₹39,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Black, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo T5x 5G (Star Silver, 128 GB)","₹24,999",4.4,8 GB RAM | 128 GB ROM,17.17 cm (6.76 inch) Display,50MP + 2MP | 32MP Front Camera,7200 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Ai+ Nova 2 5G (Green, 64 GB)","₹11,999",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"Samsung Galaxy A07 LTE (Light Violet, 64 GB)","₹10,083",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)","₹24,350",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,17.07 cm (6.72 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,one year of handset six month of accessories
"POCO X8 Pro (White, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO X8 Pro (Green, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO K14x 5G (Icy Blue, 64 GB)","₹15,999",4.3,4 GB RAM | 64 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP + 2MP | 5MP; f/2.2; FOV 77°; 3P lens,6500 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
LAVA A3 King,"₹1,231",4.2,4 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Display,0.3MP Front Camera,1750 mAh Battery,
"POCO X8 Pro (Green, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO C85 5G (Mystic Purple, 128 GB)","₹15,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.53 cm (6.9 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
KARBONN K9,"₹1,490",4.2,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) FWVGA Display,2MP + 0MP | 0MP Front Camera,1800 mAh Battery,1 Year Manufacture Warranty
"REDMI 15C 5G (Dusk Purple, 128 GB)","₹17,600",4.2,6 GB RAM | 128 GB ROM,17.53 cm (6.9 inch) Display,50MP Rear Camera,6000 mAh Battery,
"POCO M8 (Carbon Black, 128 GB)","₹18,000",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.2 cm (6.77 inch) Full HD+ Display,50MP Rear Camera | 20MP Front Camera,5520 mAh Battery,
"OPPO K14x 5G (Prism Violet, 64 GB)","₹15,999",4.3,4 GB RAM | 64 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP + 2MP | 5MP; f/2.2; FOV 77°; 3P lens,6500 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Infinix SMART 20 (Sunlike Orange, 64 GB)","₹12,499",4,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,5200 mAh Battery,"1 year for Handset
6 months for Accessories"
